PC1,128,313,150000,1.0,0.15,0.999995,1e-06,0.999,100,128,20000,1,.830
PC2,84,785,150000,0.8,0.1,0.999995,1e-05,0.9,100000,32,200000,1,.268
PC3,128,785,150000,1.0,0.2,0.99995,1e-06,0.99,100,128,2000,5,.372
PC4,233,222,150000,0.8,0.1,0.99995,1e-04,0.99,1000,32,20000,1,.789
PC5,128,222,150000,0.9,0.1,0.99995,0.001,0.99,1000,256,20000,3,.811
PC2,233,222,150000,1.0,0.1,0.999995,0.0001,0.999,100000,256,2000,1,.222
PC7,128,313,150000,0.9,0.15,0.999995,1e-06,0.999,100000,32,20000,3,.322
PC8,84,222,150000,0.8,0.2,0.99999,1e-05,0.999,100000,128,200000,1,TBD
PC9,84,785,150000,1.0,0.1,0.999995,1e-05,0.999,100,128,2000,3,.810
PC10,84,222,150000,0.9,0.15,0.99999,1e-05,0.9,100,128,20000,5,TBD
